"","date","country","activity","year","dengue_tidy_mean"
"1","2002-12-29","Argentina",0,"2002",0
"2","2002-12-29","Bolivia",0.101,"2002",0.101
"3","2002-12-29","Brazil",0.073,"2002",0.073
"4","2002-12-29","India",0.062,"2002",0.062
"5","2002-12-29","Indonesia",0.101,"2002",0.101
"6","2002-12-29","Mexico",0,"2002",0
"7","2002-12-29","Philippines",0,"2002",0
"8","2002-12-29","Singapore",0.059,"2002",0.059
"9","2002-12-29","Thailand",0,"2002",0
"10","2002-12-29","Venezuela",0,"2002",0
"11","2003-01-05","Argentina",0,"2003",0.0268653846153846
"12","2003-01-05","Bolivia",0.143,"2003",0.0758653846153846
"13","2003-01-05","Brazil",0.098,"2003",0.0835384615384615
"14","2003-01-05","India",0.047,"2003",0.170307692307692
"15","2003-01-05","Indonesia",0.039,"2003",0.0605192307692308
"16","2003-01-05","Mexico",0,"2003",0.0848846153846154
"17","2003-01-05","Philippines",0,"2003",0.0685
"18","2003-01-05","Singapore",0.059,"2003",0.131807692307692
"19","2003-01-05","Thailand",0,"2003",0
"20","2003-01-05","Venezuela",0,"2003",0.172442307692308
"21","2003-01-12","Argentina",0,"2003",0.0268653846153846
"22","2003-01-12","Bolivia",0.176,"2003",0.0758653846153846
"23","2003-01-12","Brazil",0.119,"2003",0.0835384615384615
"24","2003-01-12","India",0.051,"2003",0.170307692307692
"25","2003-01-12","Indonesia",0.059,"2003",0.0605192307692308
"26","2003-01-12","Mexico",0.071,"2003",0.0848846153846154
"27","2003-01-12","Philippines",0,"2003",0.0685
"28","2003-01-12","Singapore",0.238,"2003",0.131807692307692
"29","2003-01-12","Thailand",0,"2003",0
"30","2003-01-12","Venezuela",0,"2003",0.172442307692308
"31","2003-01-19","Argentina",0,"2003",0.0268653846153846
"32","2003-01-19","Bolivia",0.173,"2003",0.0758653846153846
"33","2003-01-19","Brazil",0.17,"2003",0.0835384615384615
"34","2003-01-19","India",0.032,"2003",0.170307692307692
"35","2003-01-19","Indonesia",0.039,"2003",0.0605192307692308
"36","2003-01-19","Mexico",0.052,"2003",0.0848846153846154
"37","2003-01-19","Philippines",0,"2003",0.0685
"38","2003-01-19","Singapore",0.175,"2003",0.131807692307692
"39","2003-01-19","Thailand",0,"2003",0
"40","2003-01-19","Venezuela",0,"2003",0.172442307692308
"41","2003-01-26","Argentina",0,"2003",0.0268653846153846
"42","2003-01-26","Bolivia",0.146,"2003",0.0758653846153846
"43","2003-01-26","Brazil",0.138,"2003",0.0835384615384615
"44","2003-01-26","India",0.04,"2003",0.170307692307692
"45","2003-01-26","Indonesia",0.112,"2003",0.0605192307692308
"46","2003-01-26","Mexico",0.048,"2003",0.0848846153846154
"47","2003-01-26","Philippines",0,"2003",0.0685
"48","2003-01-26","Singapore",0.164,"2003",0.131807692307692
"49","2003-01-26","Thailand",0,"2003",0
"50","2003-01-26","Venezuela",0,"2003",0.172442307692308
"51","2003-02-02","Argentina",0,"2003",0.0268653846153846
