"","date","country","activity","year","flu_activity_mean"
"1","2002-12-29","Argentina",0,"2002",0
"2","2002-12-29","Australia",0,"2002",0
"3","2002-12-29","Austria",0,"2002",0
"4","2002-12-29","Belgium",0,"2002",0
"5","2002-12-29","Bolivia",0,"2002",0
"6","2002-12-29","Brazil",174,"2002",174
"7","2002-12-29","Bulgaria",0,"2002",0
"8","2002-12-29","Canada",0,"2002",0
"9","2002-12-29","Chile",0,"2002",0
"10","2002-12-29","France",0,"2002",0
"11","2002-12-29","Germany",0,"2002",0
"12","2002-12-29","Hungary",0,"2002",0
"13","2002-12-29","Japan",0,"2002",0
"14","2002-12-29","Mexico",0,"2002",0
"15","2002-12-29","Netherlands",0,"2002",0
"16","2002-12-29","New.Zealand",0,"2002",0
"17","2002-12-29","Norway",0,"2002",0
"18","2002-12-29","Paraguay",0,"2002",0
"19","2002-12-29","Peru",329,"2002",329
"20","2002-12-29","Poland",0,"2002",0
"21","2002-12-29","Romania",0,"2002",0
"22","2002-12-29","Russia",0,"2002",0
"23","2002-12-29","South.Africa",0,"2002",0
"24","2002-12-29","Spain",0,"2002",0
"25","2002-12-29","Sweden",0,"2002",0
"26","2002-12-29","Switzerland",0,"2002",0
"27","2002-12-29","Ukraine",0,"2002",0
"28","2002-12-29","United.States",0,"2002",0
"29","2002-12-29","Uruguay",0,"2002",0
"30","2003-01-05","Argentina",0,"2003",179.846153846154
"31","2003-01-05","Australia",0,"2003",0
"32","2003-01-05","Austria",0,"2003",195.730769230769
"33","2003-01-05","Belgium",0,"2003",68.9038461538462
"34","2003-01-05","Bolivia",0,"2003",433.903846153846
"35","2003-01-05","Brazil",162,"2003",238.192307692308
"36","2003-01-05","Bulgaria",0,"2003",0
"37","2003-01-05","Canada",0,"2003",899.692307692308
"38","2003-01-05","Chile",0,"2003",1.65384615384615
"39","2003-01-05","France",0,"2003",84.4230769230769
"40","2003-01-05","Germany",0,"2003",298.211538461538
"41","2003-01-05","Hungary",0,"2003",0
"42","2003-01-05","Japan",0,"2003",8.80769230769231
"43","2003-01-05","Mexico",0,"2003",254.480769230769
"44","2003-01-05","Netherlands",0,"2003",15.1153846153846
"45","2003-01-05","New.Zealand",0,"2003",0
"46","2003-01-05","Norway",0,"2003",0
"47","2003-01-05","Paraguay",0,"2003",0
"48","2003-01-05","Peru",315,"2003",393.096153846154
"49","2003-01-05","Poland",0,"2003",0
"50","2003-01-05","Romania",0,"2003",630.173076923077
"51","2003-01-05","Russia",0,"2003",0
"52","2003-01-05","South.Africa",0,"2003",0
"53","2003-01-05","Spain",0,"2003",20.8269230769231
"54","2003-01-05","Sweden",0,"2003",0
"55","2003-01-05","Switzerland",0,"2003",23.5
"56","2003-01-05","Ukraine",0,"2003",0
"57","2003-01-05","United.States",0,"2003",831.365384615385
"58","2003-01-05","Uruguay",0,"2003",123.942307692308
"59","2003-01-12","Argentina",0,"2003",179.846153846154
"60","2003-01-12","Australia",0,"2003",0
"61","2003-01-12","Austria",0,"2003",195.730769230769
"62","2003-01-12","Belgium",0,"2003",68.9038461538462
"63","2003-01-12","Bolivia",0,"2003",433.903846153846
"64","2003-01-12","Brazil",174,"2003",238.192307692308
"65","2003-01-12","Bulgaria",0,"2003",0
"66","2003-01-12","Canada",0,"2003",899.692307692308
"67","2003-01-12","Chile",1,"2003",1.65384615384615
"68","2003-01-12","France",0,"2003",84.4230769230769
"69","2003-01-12","Germany",0,"2003",298.211538461538
"70","2003-01-12","Hungary",0,"2003",0
"71","2003-01-12","Japan",0,"2003",8.80769230769231
"72","2003-01-12","Mexico",0,"2003",254.480769230769
"73","2003-01-12","Netherlands",0,"2003",15.1153846153846
"74","2003-01-12","New.Zealand",0,"2003",0
"75","2003-01-12","Norway",0,"2003",0
"76","2003-01-12","Paraguay",0,"2003",0
"77","2003-01-12","Peru",314,"2003",393.096153846154
"78","2003-01-12","Poland",0,"2003",0
"79","2003-01-12","Romania",0,"2003",630.173076923077
"80","2003-01-12","Russia",0,"2003",0
"81","2003-01-12","South.Africa",0,"2003",0
"82","2003-01-12","Spain",0,"2003",20.8269230769231
"83","2003-01-12","Sweden",0,"2003",0
"84","2003-01-12","Switzerland",0,"2003",23.5
"85","2003-01-12","Ukraine",0,"2003",0
"86","2003-01-12","United.States",0,"2003",831.365384615385
