Condition,Subject,Session,L1_RclP,L2_RclP,L3_RclP,L4_RclP,Int1_4,Int2_4,Int3_4,Int_L4,L1_ARC,L2_ARC,L3_ARC,L4_ARC
Always-Tested,300,1,1.00,1.00,1.00,0.93,0,0,0,0,1,1,0.86,1
Always-Tested,301,2,1.00,1.00,0.93,1.00,0,0,0,0,0.3,0.5,0.84,1
Always-Tested,302,3,0.87,0.87,0.93,0.73,0,0,0,0,0.05,0.37,1,1
Always-Tested,303,4,0.73,0.67,0.87,0.73,0,0,0,0,0.74,0.45,0.84,0.78
Always-Tested,304,1,0.93,0.47,0.80,1.00,0,0,0,0,0.58,0.61,1,0.88
Always-Tested,305,2,0.60,0.73,0.73,0.87,0,0,0,0,-0.04,0.34,0.47,1
Always-Tested,306,3,0.20,0.33,0.40,0.73,0,0,0,0,1,0,1,-0.1
Always-Tested,307,4,0.73,0.93,0.93,0.87,0,0,0,0,0.32,0.3,0.72,0.52
Always-Tested,310,3,0.73,0.80,0.93,0.87,0,0,0,0,0.15,0.82,1,1
Always-Tested,311,4,0.00,0.40,0.47,0.40,0,0,0,0,0,-0.2,0.13,0
Always-Tested,312,1,0.67,0.80,0.73,1.00,0,0,1,1,0.17,0.82,0.78,0.88
Always-Tested,313,2,0.33,0.07,0.33,0.33,0,0,0,0,-0.25,0,-0.25,0.17
Always-Tested,314,3,0.93,0.80,0.73,0.93,0,0,0,0,0.84,0.81,1,1
Always-Tested,315,4,0.73,0.80,0.80,0.67,0,0,0,0,0.76,1,1,1
Always-Tested,316,1,0.60,0.33,0.40,0.33,0,0,0,0,0.31,-0.67,-0.5,-0.67
Always-Tested,317,2,0.27,0.40,0.27,0.33,0,0,3,3,-1,0.25,1,-1
Always-Tested,318,3,0.87,1.00,1.00,0.93,0,0,0,0,0.63,0.63,0.5,1
Always-Tested,319,4,0.80,0.60,0.87,0.80,0,0,0,0,0.45,-0.29,0.35,0.63
Always-Tested,320,1,0.47,0.53,0.53,0.53,0,0,0,0,0.61,1,0.46,-0.09
Always-Tested,321,2,0.87,0.93,0.87,0.87,0,0,0,0,0.52,0.67,1,0.63
Always-Tested,323,4,0.33,0.60,0.73,0.53,0,0,1,1,1,0.67,0.79,0.56
Always-Tested,326,3,0.73,0.73,0.80,0.87,0,0,0,0,1,1,0.82,1
Always-Tested,328,1,0.87,0.67,1.00,0.93,0,0,0,0,0.52,0.5,0.88,0.86
Always-Tested,329,2,0.27,0.27,0.33,0.20,0,0,0,0,-1,1,1,1
Always-Tested,330,3,0.67,0.87,0.93,0.67,0,0,0,0,0.52,0.37,0.3,0.32
Always-Tested,332,1,0.60,0.60,0.47,0.53,0,0,0,0,1,0.71,0.4,1
Always-Tested,335,4,0.80,0.80,0.53,0.67,0,0,0,0,1,0.79,1,1
Always-Tested,336,1,0.40,0.80,0.87,0.80,0,0,0,0,1,0.58,0.84,1
Always-Tested,337,2,0.87,0.87,0.73,0.67,0,0,0,0,-0.11,1,1,0.47
Always-Tested,338,3,0.80,1.00,0.93,0.93,0,0,1,1,0.78,1,1,1
Always-Tested,339,4,0.67,0.67,0.93,0.60,0,0,0,0,0.75,0.52,1,1
Always-Tested,341,2,1.00,1.00,1.00,1.00,0,0,0,0,0.5,1,1,1
Always-Tested,342,1,0.73,0.73,0.60,0.67,0,1,0,1,0.37,0.77,-0.38,-0.29
Always-Tested,343,2,0.93,0.93,0.80,0.87,0,0,0,0,0.05,0.72,0.44,0.52
Always-Tested,344,3,0.53,0.67,0.80,0.73,0,1,0,1,0.08,-0.05,0.64,1
Always-Tested,345,4,0.27,0.33,0.27,0.33,0,0,0,0,-1,-0.67,-1,1
Always-Tested,350,1,0.87,0.93,0.73,0.80,0,0,0,0,1,1,1,1
Always-Tested,351,2,0.27,0.53,0.80,0.40,0,0,0,0,-1,0,0.15,0.25
Always-Tested,352,3,0.53,0.93,0.93,0.80,0,0,2,2,-0.4,1,0.84,0.79
Always-Tested,353,4,0.87,0.87,0.67,0.87,0,0,0,0,0.52,0.68,0.55,0.52
Early-Tested,101,2,0.07,,,0.33,0,0,1,1,0,,,1
Early-Tested,102,3,1.00,,,0.73,0,1,0,1,0.88,,,1
Early-Tested,103,4,0.60,,,0.20,1,0,0,1,0.31,,,1
Early-Tested,107,4,1.00,,,0.87,0,0,0,0,0.5,,,1
Early-Tested,108,1,0.73,,,0.33,0,1,0,1,0.34,,,-0.67
Early-Tested,109,2,0.73,,,0.80,0,0,0,0,0.34,,,0.27
Early-Tested,110,3,0.67,,,0.53,0,1,0,1,-0.05,,,0.11
Early-Tested,111,4,0.80,,,0.67,0,1,0,1,0.63,,,0
Early-Tested,113,2,0.53,,,0.33,0,1,0,1,0.64,,,-1.5
Early-Tested,115,4,0.73,,,0.27,0,0,1,1,0.12,,,0
Early-Tested,116,1,0.73,,,0.67,0,0,2,2,0.56,,,0.44
Early-Tested,117,2,0.27,,,0.33,0,2,2,4,-1,,,1
Early-Tested,118,3,0.67,,,0.47,0,1,0,1,0.17,,,-0.4
Early-Tested,119,4,0.67,,,0.60,0,0,0,0,0.21,,,0.73
Early-Tested,120,1,0.33,,,0.00,0,8,1,9,1,,,0
Early-Tested,121,2,0.80,,,0.73,0,0,0,0,0.27,,,0.58
Early-Tested,122,3,0.47,,,0.47,0,1,2,3,-0.4,,,1
Early-Tested,123,4,0.53,,,0.47,0,1,2,3,-0.23,,,1
Early-Tested,124,1,0.60,,,0.40,0,1,1,2,0.31,,,0.4
Early-Tested,125,2,0.93,,,0.93,0,0,0,0,0.3,,,0.3
Early-Tested,126,3,0.60,,,0.20,0,1,0,1,-0.16,,,-2
Early-Tested,128,1,0.27,,,0.40,0,0,1,1,-0.06,,,0.4
Early-Tested,129,2,0.47,,,0.00,1,2,2,5,0.07,,,0
Early-Tested,130,3,0.93,,,1.00,0,1,0,1,-0.26,,,0.5
Early-Tested,131,4,1.00,,,1.00,0,0,0,0,1,,,1
Early-Tested,134,3,0.47,,,0.07,0,1,1,2,1,,,0
Early-Tested,135,4,0.40,,,0.33,0,1,0,1,1,,,1
Early-Tested,136,1,0.73,,,0.67,0,1,1,2,0.12,,,-0.32
Early-Tested,137,2,0.80,,,0.60,0,0,1,1,0.45,,,0.31
Early-Tested,138,3,0.93,,,0.73,0,1,0,1,0.58,,,0.34
Early-Tested,140,1,0.93,,,0.93,0,0,0,0,0.86,,,1
Early-Tested,141,2,0.87,,,0.53,1,1,1,3,0.84,,,1
Early-Tested,144,1,0.87,,,0.40,0,0,2,2,0.51,,,1
Early-Tested,145,2,0.87,,,0.73,0,0,0,0,0.35,,,0.12
Early-Tested,146,3,0.80,,,0.73,0,1,0,1,0.25,,,0.37
Early-Tested,147,4,0.80,,,0.40,0,0,0,0,0.45,,,1
Early-Tested,148,1,0.93,,,0.47,0,2,0,2,1,,,0.3
Early-Tested,150,3,0.80,,,0.27,0,1,1,2,0.33,,,1
Early-Tested,151,4,0.67,,,0.33,0,0,1,1,-0.05,,,0.17
Early-Tested,152,1,0.93,,,0.47,0,0,0,0,0.86,,,1
Not-Tested,202,3,,,,0.27,0,1,1,2,,,,-3
Not-Tested,203,4,,,,0.47,0,0,1,1,,,,0.4
Not-Tested,204,1,,,,0.33,0,0,1,1,,,,1
Not-Tested,206,3,,,,0.27,0,1,1,2,,,,-1
Not-Tested,207,4,,,,0.13,0,0,0,0,,,,0
Not-Tested,209,2,,,,0.40,0,0,0,0,,,,1
Not-Tested,210,3,,,,0.20,0,1,0,1,,,,0
Not-Tested,212,1,,,,0.67,0,0,1,1,,,,0.44
Not-Tested,215,4,,,,0.60,1,0,0,1,,,,1
Not-Tested,218,3,,,,0.40,0,1,0,1,,,,0.25
Not-Tested,220,1,,,,0.60,0,0,1,1,,,,-0.38
Not-Tested,221,2,,,,0.20,1,2,1,4,,,,0
Not-Tested,223,4,,,,0.73,0,0,0,0,,,,0.81
Not-Tested,224,1,,,,0.67,0,0,0,0,,,,1
Not-Tested,225,2,,,,0.53,0,0,3,3,,,,0.5
Not-Tested,227,4,,,,0.13,4,0,1,5,,,,0
Not-Tested,228,1,,,,0.20,0,0,0,0,,,,1
Not-Tested,229,2,,,,0.00,0,0,1,1,,,,0
Not-Tested,232,1,,,,0.27,3,0,2,5,,,,-1
Not-Tested,233,2,,,,0.13,0,0,0,0,,,,0
Not-Tested,234,3,,,,0.13,0,1,4,5,,,,0
Not-Tested,235,4,,,,0.33,1,0,0,1,,,,-0.25
Not-Tested,236,1,,,,0.67,0,1,1,2,,,,0.74
Not-Tested,237,2,,,,0.20,0,0,1,1,,,,0
Not-Tested,238,3,,,,0.33,0,1,0,1,,,,-0.67
Not-Tested,239,4,,,,0.20,0,0,0,0,,,,-2
Not-Tested,240,1,,,,0.40,0,0,0,0,,,,0.5
