Subject,Session,Test_Exp,Test_Cdn,RCL-L1_P,RCL-L2_P,RCL-L3_P,RCL-L4_P,RCL-L5_P,RCL-L6_P,INT1_6,INT2_6,INT3_6,INT4_6,INT5_6,Int_list2,Int_list3,Int_list4,Int_list5,INT_list6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
101,1,TE,Always-Tested,0.600,0.730,0.930,0.870,0.670,0.470,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0.36,0.31,0.72,0.25,0.47,1
103,3,TE,Always-Tested,0.470,0.670,0.400,0.730,0.600,0.200,0,0,0,0,0,0,0,0,0,0,60,70,80,100,100,100,-0.4,-0.05,-0.5,1,0.36,.
104,4,TE,Always-Tested,0.870,0.800,0.730,0.930,0.930,0.870,0,0,0,0,0,0,0,0,1,0,65,70,80,90,99,100,0.68,1,1,0.86,0.3,0.19
106,6,TE,Always-Tested,0.670,0.730,0.530,0.670,0.400,0.600,0,1,0,0,0,0,0,0,2,1,60,60,60,60,60,60,0.47,-0.1,-0.4,-0.39,0.17,-0.29
110,4,TE,Always-Tested,0.670,0.330,0.530,0.530,0.070,0.200,0,0,0,1,0,1,0,1,2,1,75,45,40,70,70,90,1,1,0.47,0.6,.,1
111,5,TE,Always-Tested,0.800,0.800,0.870,0.930,1.000,1.000,0,0,0,0,0,0,0,0,0,0,90,50,50,50,75,75,-0.13,1,0.52,0.86,1,0.88
112,6,TE,Always-Tested,0.600,0.930,0.530,0.470,0.530,0.400,0,0,0,0,0,0,2,1,3,0,75,80,97,99,100,100,1,0.37,0.56,0.13,1,-0.5
113,1,TE,Always-Tested,0.670,0.730,0.930,0.730,0.670,0.530,0,0,0,0,2,0,0,0,0,2,60,30,33,75,90,90,0.72,0.78,0.72,0.56,0.17,1
114,2,TE,Always-Tested,0.600,0.670,0.400,0.330,0.330,0.670,0,0,0,0,0,0,1,0,0,0,60,40,80,95,100,100,0.13,1,-0.5,0.17,1,0.29
116,4,TE,Always-Tested,0.600,0.470,0.600,0.400,0.470,0.270,0,0,0,0,0,0,0,0,2,0,75,80,60,65,90,100,0.65,-0.75,-0.04,0.25,1,1
117,4,TE,Always-Tested,0.800,0.730,0.600,0.400,0.400,0.070,0,0,0,0,0,0,0,0,0,0,50,65,75,95,100,100,-0.31,-0.1,0.18,-1.5,-0.5,.
118,6,TE,Always-Tested,0.530,0.730,0.730,0.530,0.470,0.470,0,0,0,0,0,0,0,0,0,0,50,50,100,100,90,90,0.11,0.12,0.34,0.56,1,-0.17
119,1,TE,Always-Tested,0.670,0.670,0.400,0.600,0.800,0.600,0,0,0,0,0,0,0,0,0,0,70,65,65,65,65,65,-0.05,0.21,1,1,0.63,0.25
120,2,TE,Always-Tested,0.330,0.270,0.400,0.330,0.130,0.130,0,2,0,0,0,0,0,0,0,2,0,100,50,0,0,100,-0.67,.,0.25,.,.,.
121,3,TE,Always-Tested,0.470,0.330,0.470,0.270,0.400,0.670,0,0,0,0,0,0,0,0,1,0,50,50,90,99,85,99,-0.31,1,1,.,1,0.76
122,4,TE,Always-Tested,0.600,0.870,0.930,0.800,1.000,1.000,0,0,0,0,0,0,0,0,1,0,80,90,0,20,100,100,-0.38,-0.3,0.02,-0.27,0,-0.13
123,5,TE,Always-Tested,0.670,0.730,0.930,0.800,0.870,0.730,0,0,0,0,0,0,1,0,0,0,30,50,50,50,50,50,0.74,1,0.86,1,1,1
124,6,TE,Always-Tested,0.800,0.670,0.670,0.670,0.470,0.530,0,0,0,0,0,0,0,0,0,0,50,100,100,100,100,100,0.63,-0.11,0.52,0.72,-0.4,0.27
125,1,TE,Always-Tested,0.530,0.400,0.270,0.400,0.670,0.470,0,0,0,0,0,0,1,0,0,0,80,90,99,99,100,100,0.64,1,1,-0.5,0.74,1
126,2,TE,Always-Tested,0.400,0.670,0.130,0.270,0.270,0.000,0,0,0,1,1,0,1,0,0,2,50,90,10,90,90,100,0.25,0.74,.,-1,1,.
127,3,TE,Always-Tested,0.670,0.800,1.000,0.870,0.870,1.000,0,1,0,0,0,0,0,0,0,1,70,50,60,75,85,99,0.17,0.82,0.88,0.84,0.52,1
128,4,TE,Always-Tested,0.530,0.600,0.600,0.600,0.530,0.530,0,0,0,0,2,0,0,0,1,2,75,80,80,80,85,85,0,1,0.65,0.75,1,1
129,5,TE,Always-Tested,0.670,0.330,0.470,0.270,0.270,0.270,0,0,0,0,1,0,0,0,0,1,70,60,40,50,80,80,-0.32,1,1,-1,1,.
131,1,TE,Always-Tested,0.800,0.800,0.930,0.930,0.870,0.870,0,0,0,0,0,0,0,0,0,0,50,45,65,75,85,95,0.63,0.81,0.72,0.72,0.68,0.68
135,5,TE,Always-Tested,0.600,0.530,0.600,0.600,0.930,0.670,0,0,0,0,0,0,0,0,0,0,50,50,100,100,10,100,-0.04,0.56,0.13,-0.29,0.44,0.45
136,6,TE,Always-Tested,0.530,0.400,0.470,0.330,0.600,0.330,0,0,0,0,0,0,0,0,0,0,87,67,50,100,72,99,0.56,0.25,0.46,1,0.31,.
137,1,TE,Always-Tested,1.000,0.670,0.930,0.670,0.530,0.730,0,0,0,1,1,0,0,0,2,2,75,80,100,100,100,100,0.13,0.75,0.86,0.47,0.5,1
138,1,TE,Always-Tested,0.670,0.400,0.400,0.530,0.470,0.400,0,0,0,0,0,1,1,0,0,0,100,100,80,100,100,100,0.44,-0.5,-0.5,-0.45,-0.75,1
139,2,TE,Always-Tested,0.800,0.870,0.600,0.730,0.530,0.800,0,0,0,0,0,0,2,0,0,0,50,50,50,50,50,50,0.25,0.68,0.42,0.78,0,0.64
140,3,TE,Always-Tested,0.800,0.530,0.730,0.930,0.930,0.930,0,1,0,0,1,1,1,0,0,2,50,30,20,10,0,0,0.09,0.27,0.58,0.72,0.72,0.72
141,4,TE,Always-Tested,0.730,0.800,0.400,0.130,0.470,0.600,0,0,0,1,1,0,2,0,4,2,50,75,100,25,100,75,0.58,0.44,1,.,1,1
142,5,TE,Always-Tested,0.800,0.800,0.800,0.800,0.870,0.930,0,0,0,0,0,0,0,1,0,0,100,100,100,100,100,100,-0.27,0.64,0.06,0.44,0.35,0.16
143,6,TE,Always-Tested,0.730,0.600,0.730,0.670,0.530,0.470,0,0,1,0,0,0,0,0,0,1,25,42,15,0,90,0,0.34,1,0.78,0.47,0.27,-0.4
144,5,TE,Always-Tested,0.330,0.330,0.330,0.330,0.000,0.000,0,0,0,0,0,1,0,0,0,0,50,50,0,0,0,99,0.17,-0.67,1,1,.,-0.67
145,2,TE,Always-Tested,0.530,0.400,0.330,0.400,0.330,0.330,0,0,0,0,0,0,1,1,1,0,75,75,75,76,77,85,0.33,1,.,1,-0.67,1
147,4,TE,Always-Tested,0.600,0.870,0.800,0.530,0.870,0.670,0,0,0,0,2,0,0,0,0,2,50,40,100,100,100,100,0.31,0.51,0.25,0.5,1,0.74
148,5,TE,Always-Tested,0.730,0.600,0.670,0.730,0.200,0.400,0,0,0,0,0,0,0,0,1,0,100,100,100,100,100,100,0.12,-0.29,0.32,0.34,.,-0.5
150,5,TE,Always-Tested,0.870,0.600,0.870,0.870,0.800,0.870,0,0,0,0,0,0,0,0,1,0,90,95,100,100,100,100,-0.11,0.31,0.68,0.19,0.45,0.68
151,2,TE,Always-Tested,0.670,0.730,0.730,0.600,0.670,0.800,0,0,0,0,0,1,1,1,1,0,50,80,80,60,70,100,-0.05,0.37,-0.1,0.13,0.47,0.27
152,3,TE,Always-Tested,0.470,0.530,0.530,0.330,0.600,0.470,0,0,0,0,0,1,0,0,0,0,75,100,50,100,100,100,-0.08,0.56,0.11,.,0.45,-0.08
154,5,TE,Always-Tested,0.530,0.270,0.330,0.330,0.600,0.870,0,0,0,0,0,0,0,0,1,0,80,80,80,80,80,90,0.27,1,1,0.17,0.42,0.52
156,1,TE,Always-Tested,0.870,0.870,0.600,0.400,0.530,0.870,0,0,0,0,0,0,0,1,0,0,75,80,100,50,70,30,1,0.84,-0.04,1,-0.09,0.09
157,4,TE,Always-Tested,0.730,0.870,0.800,0.400,0.870,0.870,0,0,0,1,0,0,1,0,1,1,50,50,100,100,100,100,0.21,0.05,-0.32,-0.5,0.52,0.19
158,3,TE,Always-Tested,0.870,1.000,1.000,1.000,0.930,0.930,0,1,0,0,0,0,0,0,1,1,50,40,50,50,75,80,0.37,0.88,0.75,1,1,1
160,4,TE,Always-Tested,0.530,0.530,0.330,0.330,0.330,0.270,0,0,0,0,0,0,0,0,1,0,20,35,100,100,100,100,0,-0.09,-0.67,-0.67,1,1
161,4,TE,Always-Tested,0.600,0.870,0.670,0.870,1.000,1.000,0,0,0,0,0,0,0,0,1,0,60,50,50,100,100,100,0.31,1,-0.05,0.52,0.38,0
162,1,TE,Always-Tested,1.000,1.000,0.930,1.000,1.000,0.930,0,0,0,0,0,0,0,0,0,0,50,50,100,100,100,100,0.88,0.75,0.3,0.75,0.13,0.02
166,5,TE,Always-Tested,0.600,0.930,1.000,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0,0,60,75,33,82,90,0,-0.38,0.72,0.38,0.5,0.13,0.13
