Expt,Subject,Session,TE,Cond,RCL-L6p,INT_list6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
1,300,1,NTE,Always-Tested,0.93,0,,,,,,,,,1,1,0.86,1
1,301,2,NTE,Always-Tested,1,0,,,,,,,,,0.3,0.5,0.84,1
1,302,3,NTE,Always-Tested,0.73,0,,,,,,,,,0.05,0.37,1,1
1,303,4,NTE,Always-Tested,0.73,0,,,,,,,,,0.74,0.45,0.84,0.78
1,304,1,NTE,Always-Tested,1,0,,,,,,,,,0.58,0.61,1,0.88
1,305,2,NTE,Always-Tested,0.87,0,,,,,,,,,-0.04,0.34,0.47,1
1,306,3,NTE,Always-Tested,0.73,0,,,,,,,,,1,0,1,-0.1
1,307,4,NTE,Always-Tested,0.87,0,,,,,,,,,0.32,0.3,0.72,0.52
1,310,3,NTE,Always-Tested,0.87,0,,,,,,,,,0.15,0.82,1,1
1,311,4,NTE,Always-Tested,0.4,0,,,,,,,,,0,-0.2,0.13,0
1,312,1,NTE,Always-Tested,1,1,,,,,,,,,0.17,0.82,0.78,0.88
1,313,2,NTE,Always-Tested,0.33,0,,,,,,,,,-0.25,0,-0.25,0.17
1,314,3,NTE,Always-Tested,0.93,0,,,,,,,,,0.84,0.81,1,1
1,315,4,NTE,Always-Tested,0.67,0,,,,,,,,,0.76,1,1,1
1,316,1,NTE,Always-Tested,0.33,0,,,,,,,,,0.31,-0.67,-0.5,-0.67
1,317,2,NTE,Always-Tested,0.33,3,,,,,,,,,-1,0.25,1,-1
1,318,3,NTE,Always-Tested,0.93,0,,,,,,,,,0.63,0.63,0.5,1
1,319,4,NTE,Always-Tested,0.8,0,,,,,,,,,0.45,-0.29,0.35,0.63
1,320,1,NTE,Always-Tested,0.53,0,,,,,,,,,0.61,1,0.46,-0.09
1,321,2,NTE,Always-Tested,0.87,0,,,,,,,,,0.52,0.67,1,0.63
1,323,4,NTE,Always-Tested,0.53,1,,,,,,,,,1,0.67,0.79,0.56
1,326,3,NTE,Always-Tested,0.87,0,,,,,,,,,1,1,0.82,1
1,328,1,NTE,Always-Tested,0.93,0,,,,,,,,,0.52,0.5,0.88,0.86
1,329,2,NTE,Always-Tested,0.2,0,,,,,,,,,-1,1,1,1
1,330,3,NTE,Always-Tested,0.67,0,,,,,,,,,0.52,0.37,0.3,0.32
1,332,1,NTE,Always-Tested,0.53,0,,,,,,,,,1,0.71,0.4,1
1,335,4,NTE,Always-Tested,0.67,0,,,,,,,,,1,0.79,1,1
1,336,1,NTE,Always-Tested,0.8,0,,,,,,,,,1,0.58,0.84,1
1,337,2,NTE,Always-Tested,0.67,0,,,,,,,,,-0.11,1,1,0.47
1,338,3,NTE,Always-Tested,0.93,1,,,,,,,,,0.78,1,1,1
1,339,4,NTE,Always-Tested,0.6,0,,,,,,,,,0.75,0.52,1,1
1,341,2,NTE,Always-Tested,1,0,,,,,,,,,0.5,1,1,1
1,342,1,NTE,Always-Tested,0.67,1,,,,,,,,,0.37,0.77,-0.38,-0.29
1,343,2,NTE,Always-Tested,0.87,0,,,,,,,,,0.05,0.72,0.44,0.52
1,344,3,NTE,Always-Tested,0.73,1,,,,,,,,,0.08,-0.05,0.64,1
1,345,4,NTE,Always-Tested,0.33,0,,,,,,,,,-1,-0.67,-1,1
1,350,1,NTE,Always-Tested,0.8,0,,,,,,,,,1,1,1,1
1,351,2,NTE,Always-Tested,0.4,0,,,,,,,,,-1,0,0.15,0.25
1,352,3,NTE,Always-Tested,0.8,2,,,,,,,,,-0.4,1,0.84,0.79
1,353,4,NTE,Always-Tested,0.87,0,,,,,,,,,0.52,0.68,0.55,0.52
1,101,2,NTE,Early-Tested,0.33,1,,,,,,,,,0,,,1
1,102,3,NTE,Early-Tested,0.73,1,,,,,,,,,0.88,,,1
1,103,4,NTE,Early-Tested,0.2,1,,,,,,,,,0.31,,,1
1,107,4,NTE,Early-Tested,0.87,0,,,,,,,,,0.5,,,1
1,108,1,NTE,Early-Tested,0.33,1,,,,,,,,,0.34,,,-0.67
1,109,2,NTE,Early-Tested,0.8,0,,,,,,,,,0.34,,,0.27
1,110,3,NTE,Early-Tested,0.53,1,,,,,,,,,-0.05,,,0.11
1,111,4,NTE,Early-Tested,0.67,1,,,,,,,,,0.63,,,0
