Condition,Subject,Session,L1_RclP,L2_RclP,L3_RclP,L4_RclP,L5_RclP,L6_RclP,Int1_6,Int2_6,Int3_6,Int4_6,Int5_6,Intru_L6_Total,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
Always-Tested,100,1,0.47,0.67,0.67,0.60,0.33,0.80,0,0,0,0,0,0,1.00,0.47,0.17,0.31,1.00,0.27
Always-Tested,101,2,1.00,0.73,0.80,0.87,0.93,0.67,0,0,0,0,0,0,0.25,0.58,0.63,0.68,0.16,0.17
Always-Tested,102,3,0.67,0.53,0.40,0.60,0.53,0.47,0,1,0,0,0,1,0.17,0.64,0.25,0.65,0.00,0.13
Always-Tested,103,4,0.53,0.47,0.67,0.47,0.40,0.53,0,1,0,0,0,1,0.31,-0.17,0.44,0.30,0.50,0.56
Always-Tested,104,5,0.60,0.73,0.33,0.67,0.27,0.20,0,0,0,1,0,1,0.65,-0.06,-0.67,-0.05,1.00,0.00
Always-Tested,105,6,0.60,0.40,0.73,0.80,0.53,0.40,0,0,0,0,0,0,0.63,-0.50,0.23,0.27,0.50,-0.50
Always-Tested,106,1,0.40,0.33,0.53,0.40,0.53,0.53,0,0,0,0,0,0,0.25,0.17,0.00,-0.50,0.56,0.50
Always-Tested,107,2,0.47,0.93,0.87,0.87,0.80,0.87,0,0,0,0,0,0,0.22,0.86,0.84,0.84,1.00,0.84
Always-Tested,108,3,0.60,0.60,0.60,0.60,0.47,0.80,0,0,0,0,0,0,0.22,0.65,-0.04,0.65,0.46,0.82
Always-Tested,109,4,0.60,0.73,0.80,0.60,0.93,0.67,0,0,0,0,0,0,-0.05,0.34,0.44,1.00,0.30,0.21
Always-Tested,110,5,0.67,0.87,1.00,0.87,0.87,0.87,0,0,0,0,0,0,0.52,0.21,1.00,-0.11,0.03,0.37
Always-Tested,111,6,0.67,0.53,0.87,0.13,0.47,0.47,0,1,1,0,0,2,0.74,-0.33,0.37,0.00,0.07,-0.62
Always-Tested,112,1,0.47,0.47,0.47,0.33,0.13,0.00,0,0,1,0,1,2,1.00,0.46,0.46,1.00,0.00,0.00
Always-Tested,114,3,0.47,0.40,0.33,0.47,0.53,0.47,0,0,0,0,0,0,-0.40,-0.50,-0.67,0.53,-0.33,-0.50
Always-Tested,116,5,0.87,0.93,0.87,0.87,0.80,0.87,0,0,0,0,0,0,0.52,0.72,1.00,0.68,0.81,0.68
Always-Tested,117,6,1.00,1.00,0.87,1.00,0.93,0.87,0,0,0,0,0,0,-0.25,-0.25,0.21,0.00,0.02,-0.27
