Subject,Session,Cond,RCL-L1,RCL-L2,RCL-L3,RCL-L4,RCL-L5,RCL-L6,INT1_6,INT2_6,INT3_6,INT4_6,INT5_6,INT_L1,INT_L2,INT_L3,INT_L4,INT_L5,INT_L6,TEST_EXP1,TEST_EXP2,TEST_EXP3,TEST_EXP4,TEST_EXP5,TEST_EXP6,L1_ARC,L2_ARC,L3_ARC,L4_ARC,L5_ARC,L6_ARC
102,2,Always-Tested,0.87,0.87,0.53,0.2,0,0.6,0,0,0,0,0,0,1,1,4,0,0,74,52,82,90,80,50,-0.11,0.52,0.67,0,0,-0.04
103,3,Always-Tested,0.73,0.6,0.53,0.53,0.6,0.87,0,1,0,0,0,0,0,0,0,0,1,73,78,84,90,100,99,0.54,0.31,0.11,1,0.71,1
104,4,Always-Tested,0.53,0.6,0.6,0.33,0.93,0.8,0,0,0,0,0,1,0,0,0,0,0,100,100,100,100,100,100,0,0.42,-0.04,1,0.72,1
108,2,Always-Tested,0.53,0.4,0.27,0.07,0.07,0.33,0,0,0,0,0,0,0,0,1,0,0,75,75,90,90,50,50,0.33,-0.67,1,0,0,-0.67
110,4,Always-Tested,0.4,0.67,0.2,0.4,0.47,0.13,0,0,0,0,0,0,0,0,0,2,0,65,25,100,100,100,100,-0.5,0.21,0,1,0.3,0
112,6,Always-Tested,0.67,0.67,0.47,0.67,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,50,25,10,50,50,100,-0.05,0.47,1,0.21,0.04,-0.09
113,1,Always-Tested,0.67,0.87,0.87,0.73,0.73,0.53,0,1,0,0,1,0,0,0,0,1,2,70,20,100,100,50,50,0.72,0.68,0.68,0.78,1,1
114,2,Always-Tested,0.6,0.67,0.6,0.8,0.67,0.67,1,0,0,0,0,0,0,0,0,0,1,90,90,100,100,100,100,-0.04,0.44,0.31,0.09,0.21,0.21
115,3,Always-Tested,0.73,0.6,0.2,0.73,0.67,0.53,0,0,0,1,0,0,0,0,0,0,1,40,60,40,60,53,43,0.34,0.68,0,0.79,0.09,1
116,4,Always-Tested,0.67,0.8,0.8,0.93,0.73,0.8,0,0,0,0,0,0,0,0,0,1,0,75,75,75,75,75,75,-0.05,0.44,0.27,1,1,0.82
117,5,Always-Tested,0.33,0.53,0.6,0.53,0.47,0.53,0,0,1,0,2,0,0,0,1,1,3,50,60,90,100,100,100,1,-0.33,-0.04,-0.33,-0.2,1
118,6,Always-Tested,0.87,0.87,0.8,0.73,0.87,0.87,0,0,0,0,0,0,0,0,1,0,0,75,100,100,100,100,100,0.37,0.51,0.63,0.56,0.21,0.84
119,1,Always-Tested,0.53,0.8,0.93,0.93,0.87,0.67,0,0,0,0,0,0,0,0,0,0,0,50,25,100,100,100,100,0.69,0.67,0.72,1,0.84,0.55
120,2,Always-Tested,0.93,0.93,0.93,1,0.93,0.93,0,0,0,0,0,0,0,0,1,0,0,80,80,30,20,10,2,0.3,0.44,1,0.75,0.86,0.58
121,3,Always-Tested,0.53,0.53,0.53,0.33,0.47,0.47,0,1,0,0,0,0,0,0,0,0,1,50,25,25,100,100,100,-0.2,-0.09,0,0.17,-0.08,0.3
122,4,Always-Tested,0.73,0.67,0.8,0.8,1,0.67,0,0,0,0,0,0,0,0,0,1,0,100,100,100,100,100,100,0.12,0.47,1,0.81,0.88,0.17
124,6,Always-Tested,0.47,0.27,0.33,0.33,0.4,0.13,1,0,0,1,1,0,0,0,1,0,3,50,75,75,90,90,90,0.46,0,-0.25,-0.25,1,0
125,1,Always-Tested,0.8,0.93,0.93,1,0.93,0.8,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,0.45,0.3,0.02,0.38,0.02,0.06
126,2,Always-Tested,0.73,0.67,0.4,0.47,0.53,0.47,0,0,0,0,0,0,1,1,2,0,0,75,75,85,100,100,95,0.12,0,-0.2,1,0.27,-0.08
127,3,Always-Tested,0.73,0.67,0.6,0.4,0.4,0.47,0,0,0,0,0,0,0,0,0,0,0,40,70,90,100,100,100,0.34,0.17,0.65,1,1,0.46
129,5,Always-Tested,0.4,0.53,0.53,0.53,0.6,0.47,0,0,1,1,0,0,1,1,0,1,2,80,100,100,100,100,100,0.25,0.5,0.56,0.38,0.04,0.61
